,count_words,count_mentions,count_hashtags,count_capital_words,count_excl_quest_marks,count_urls,count_emojis,sentiment
8449,8,0,0,0,0,0,0,neutral
6140,24,1,0,4,3,0,0,neutral
11498,27,1,0,1,0,0,0,neutral
6623,26,0,0,2,0,1,0,neutral
3231,30,0,0,0,0,1,0,neutral
1558,20,0,3,0,0,1,0,neutral
12735,25,1,0,0,0,0,0,neutral
4085,26,0,0,0,0,0,0,negative
2527,24,0,0,0,0,1,0,negative
7215,22,1,0,1,2,1,0,positive
11755,20,1,0,0,2,0,0,negative
12903,28,0,2,5,1,0,0,positive
5900,31,1,0,0,0,0,0,neutral
10232,18,1,0,0,0,0,0,positive
8140,20,2,0,0,1,0,0,positive
4975,21,1,0,1,0,0,0,negative
451,24,0,0,0,0,1,0,negative
3896,11,1,0,0,0,0,0,positive
5822,23,0,0,3,0,0,0,neutral
5081,10,0,0,0,0,0,0,positive
10408,24,0,0,0,0,1,0,neutral
1148,18,0,0,0,1,0,0,neutral
8444,25,0,0,1,0,0,0,neutral
15600,16,1,0,0,0,0,0,neutral
14671,25,0,1,0,0,0,0,positive
4435,23,1,0,0,0,0,0,neutral
12010,25,0,0,2,0,1,0,negative
6041,24,1,0,0,0,0,0,positive
438,25,0,0,0,0,0,0,positive
180,17,1,0,0,0,0,0,neutral
12572,22,1,0,0,2,0,0,positive
15678,22,0,3,1,0,0,0,negative
11624,26,0,0,0,1,0,0,positive
14999,27,0,0,0,2,0,0,neutral
13697,27,0,0,1,2,1,0,positive
5612,20,0,1,0,0,0,0,neutral
6347,14,0,0,0,0,0,0,neutral
5545,15,1,0,0,0,0,0,neutral
11604,28,0,0,0,0,0,0,negative
4359,12,0,0,0,1,0,0,positive
9950,24,0,1,0,0,1,0,neutral
5988,20,4,1,1,1,0,0,positive
5524,30,0,1,0,0,0,0,negative
2888,16,0,0,0,1,0,0,neutral
1500,19,1,0,0,0,0,0,neutral
544,22,0,0,0,0,0,0,negative
3490,13,0,0,1,0,0,0,positive
2873,20,1,0,0,1,0,0,positive
5007,20,1,0,0,0,1,0,positive
5934,27,0,0,0,0,0,0,positive
637,28,0,0,1,0,0,0,positive
12915,17,0,2,0,0,1,0,positive
5538,20,1,1,0,1,1,0,positive
2380,11,0,0,0,0,0,0,positive
8229,17,1,0,1,0,1,0,neutral
6978,20,0,1,0,0,0,0,positive
9325,27,0,0,3,0,1,0,neutral
882,25,0,0,0,0,0,0,negative
4324,17,1,0,0,0,0,0,positive
11692,26,0,1,0,2,0,0,neutral
15617,22,2,2,0,0,1,0,neutral
13403,15,1,0,0,0,0,0,positive
14513,14,0,0,0,1,0,0,negative
8205,13,1,0,0,1,0,0,neutral
12349,25,0,0,1,2,1,0,positive
13414,23,2,1,1,1,0,0,negative
14608,14,0,0,0,0,0,0,positive
1973,23,0,0,0,0,1,0,positive
7902,18,0,1,1,1,0,0,neutral
3090,7,0,0,0,0,0,0,neutral
6938,26,0,1,0,0,1,0,neutral
6534,19,2,0,1,6,0,0,negative
10777,22,0,1,0,0,0,0,neutral
4521,21,0,1,0,0,0,0,neutral
4200,8,0,0,0,0,0,0,positive
10526,23,3,0,0,0,0,0,neutral
4815,22,1,0,0,0,0,0,negative
680,20,1,0,0,0,0,0,neutral
14284,20,1,0,0,0,0,0,positive
2844,25,0,0,0,0,1,0,positive
6000,21,0,0,0,0,0,0,positive
11272,14,0,0,1,1,0,0,negative
709,16,1,0,0,1,0,0,neutral
7802,17,0,0,1,1,0,0,negative
14107,20,0,0,0,1,0,0,positive
14027,31,1,1,0,0,0,0,positive
10480,24,1,0,0,0,0,0,positive
13290,27,1,0,0,0,0,0,neutral
6774,20,2,0,1,1,1,0,neutral
1241,22,0,0,0,5,0,0,positive
8949,26,0,1,1,1,0,0,negative
610,26,1,0,0,0,0,0,negative
13254,21,0,2,0,0,0,0,negative
14407,22,0,0,0,0,1,0,neutral
7381,24,0,0,0,0,1,0,neutral
7854,17,0,0,0,0,0,0,positive
3556,18,1,0,0,0,0,0,negative
15666,15,1,1,1,5,0,0,positive
10082,32,0,0,0,0,0,0,positive
12532,24,0,0,0,0,0,0,neutral
8820,26,0,0,1,0,0,0,positive
3046,22,0,0,0,0,0,0,neutral
15863,15,1,0,0,0,0,0,neutral
677,26,0,0,0,0,1,0,positive
14737,27,0,0,1,1,1,0,neutral
858,16,1,0,1,1,0,0,neutral
6820,17,0,0,0,3,0,0,negative
9627,26,1,0,0,0,0,0,positive
3486,32,0,0,4,2,0,0,neutral
13561,24,0,0,0,0,1,0,positive
14137,21,0,0,0,0,1,0,neutral
5965,25,1,0,1,0,0,0,positive
8108,27,1,0,0,0,0,0,neutral
10212,29,0,0,3,0,0,0,negative
12732,25,0,0,0,0,0,0,neutral
4842,32,0,0,0,0,0,0,neutral
9851,17,0,0,0,1,1,0,positive
10741,19,1,1,2,0,0,0,positive
877,24,1,0,0,0,0,0,negative
3665,28,0,0,1,1,0,0,neutral
5729,27,1,0,2,1,0,0,neutral
3873,20,1,0,1,4,0,0,positive
15661,27,0,1,2,0,0,0,positive
13805,22,0,1,0,0,0,0,neutral
8309,25,0,0,0,0,0,0,negative
11065,8,0,0,0,0,0,0,neutral
11389,21,0,0,1,0,0,0,positive
11331,31,0,1,3,1,0,0,neutral
14458,9,0,0,1,1,0,0,positive
1162,19,0,0,0,0,0,0,neutral
13607,29,0,0,0,0,0,0,negative
15035,27,0,0,0,0,0,0,negative
5570,24,0,0,0,1,0,0,neutral
5717,29,0,0,1,0,0,0,positive
3089,21,0,0,0,1,0,0,negative
14710,22,0,0,0,0,0,0,neutral
10808,25,0,0,0,0,0,0,neutral
4471,23,3,0,0,2,1,0,positive
8479,23,0,0,0,0,1,0,neutral
11688,31,0,0,1,0,0,0,neutral
10592,20,0,0,0,0,0,0,neutral
12171,26,0,0,0,1,1,0,neutral
5335,17,0,0,0,0,0,0,positive
11158,20,1,0,0,2,1,0,positive
10984,31,0,0,1,2,0,0,positive
13201,26,0,0,0,0,0,0,positive
5556,25,0,0,0,1,1,0,neutral
7750,21,0,0,0,0,0,0,negative
15188,23,0,0,1,0,1,0,positive
10224,28,1,0,0,0,0,0,neutral
15688,23,0,0,0,0,0,0,neutral
10183,15,0,1,0,0,1,0,neutral
4308,24,0,1,0,0,0,0,positive
7270,15,0,1,0,2,0,0,positive
7262,25,0,1,2,0,1,0,positive
6261,20,0,0,0,0,0,0,positive
3595,17,1,0,0,0,1,0,positive
3540,28,0,0,0,0,0,0,positive
7997,28,0,0,1,0,0,0,neutral
10976,19,1,0,3,0,0,0,neutral
6127,22,0,0,0,0,0,0,neutral
12061,26,0,0,0,1,0,0,positive
13119,23,0,3,2,0,1,0,neutral
7300,11,0,0,0,0,0,0,positive
939,25,1,0,0,0,0,0,negative
11121,16,0,0,0,0,0,0,neutral
10324,22,0,0,0,0,1,0,neutral
6426,12,0,2,2,21,0,0,neutral
1735,25,0,0,3,0,1,0,neutral
4323,9,0,1,0,0,0,0,negative
6378,21,1,0,0,0,0,0,positive
5076,16,0,0,1,0,0,0,neutral
8667,17,0,0,2,0,0,0,neutral
10160,28,0,0,0,0,0,0,neutral
2630,21,0,2,0,0,0,0,negative
3282,21,0,0,0,0,1,0,neutral
12343,24,1,0,0,0,0,0,negative
879,24,0,0,4,1,0,0,negative
4591,20,2,0,0,0,0,0,positive
14426,23,4,0,3,2,0,0,neutral
9219,21,0,0,0,1,0,0,neutral
10872,26,0,0,0,1,0,0,negative
14555,17,1,0,0,0,0,0,positive
3904,11,1,0,0,1,0,0,positive
15366,18,0,1,1,0,0,0,positive
2211,17,0,0,0,0,0,0,neutral
1646,13,0,0,0,1,0,0,negative
14324,26,1,3,1,0,0,0,positive
9180,20,0,0,0,0,0,0,neutral
6737,24,0,1,0,0,0,0,positive
8241,22,0,0,1,0,0,0,neutral
10625,31,1,0,0,0,0,0,negative
15225,18,0,0,0,0,0,0,positive
15960,23,0,0,0,0,0,0,positive
9025,17,0,0,1,1,0,0,negative
556,27,1,0,2,3,0,0,positive
13324,26,0,1,0,0,0,0,positive
9651,15,0,0,0,1,0,0,negative
13391,14,0,0,0,0,0,0,positive
7801,20,0,1,0,0,1,0,neutral
9069,24,0,0,0,2,0,0,neutral
2144,10,0,0,0,1,0,0,neutral
5930,23,0,0,2,1,0,0,neutral
2893,22,0,1,0,4,0,0,positive
15866,26,0,0,1,0,1,0,neutral
802,23,0,0,0,0,1,0,neutral
12624,26,0,0,0,0,0,0,negative
1797,28,0,0,1,0,1,0,positive
8469,21,0,0,0,0,0,0,neutral
15683,28,1,0,0,0,0,0,positive
2024,23,2,0,1,0,0,0,negative
11375,30,1,0,0,0,0,0,negative
9119,16,0,1,0,0,0,0,positive
3931,22,0,0,0,0,0,0,positive
1101,18,1,0,0,0,1,0,neutral
2440,11,0,0,0,0,0,0,negative
15101,22,2,0,3,2,1,0,neutral
9289,25,0,0,1,0,0,0,negative
6629,26,0,0,2,0,1,0,neutral
8557,20,1,0,1,0,0,0,negative
9140,22,0,0,0,0,1,0,positive
13568,25,0,0,2,0,1,0,neutral
13372,18,1,1,0,0,0,0,negative
9411,27,0,0,1,0,1,0,neutral
4072,11,0,0,0,0,0,0,negative
6443,19,1,0,0,3,0,0,neutral
9643,19,1,0,0,1,0,0,positive
15472,17,0,0,3,2,0,0,positive
6977,29,0,0,0,1,0,0,positive
6289,9,1,0,0,2,0,0,neutral
5358,23,1,1,0,0,0,0,positive
9757,16,0,0,0,0,0,0,negative
1134,26,0,0,0,0,0,0,neutral
6591,27,1,2,2,0,0,0,neutral
11149,28,1,0,0,0,0,0,negative
14092,19,0,1,0,0,0,0,neutral
2241,14,0,1,0,0,0,0,positive
7600,19,0,0,1,1,1,0,neutral
1278,24,1,0,0,1,0,0,positive
10789,24,0,0,2,0,1,0,neutral
13259,22,1,1,0,1,0,0,negative
1058,28,1,0,1,1,0,0,positive
12830,9,0,0,0,0,0,0,positive
9082,26,1,0,0,1,0,0,positive
9286,20,0,1,0,0,0,0,positive
4901,11,1,0,0,0,0,0,positive
7176,17,0,0,0,1,1,0,neutral
9152,22,0,0,1,0,1,0,positive
4172,22,0,0,1,0,0,0,negative
7747,17,0,1,3,3,0,0,neutral
3961,14,1,0,0,1,0,0,neutral
2528,32,0,0,3,0,0,0,neutral
13795,26,0,0,1,0,0,0,negative
14853,28,0,0,0,2,0,0,neutral
9631,19,0,0,2,1,0,0,positive
6183,16,1,0,0,0,0,0,positive
9577,24,0,0,0,0,1,0,neutral
1697,26,0,0,0,0,1,0,neutral
14654,21,0,0,0,0,0,0,negative
11852,15,1,3,0,0,0,0,neutral
10597,19,1,1,0,4,0,0,positive
787,24,0,0,1,0,1,0,neutral
3522,24,0,0,0,0,0,0,neutral
4456,19,0,0,1,0,0,0,negative
6627,25,1,0,1,9,0,0,positive
13011,24,0,0,0,0,1,0,neutral
7146,27,0,1,1,1,1,0,positive
9521,21,0,1,0,0,0,0,neutral
5352,24,1,0,0,0,0,0,positive
3132,24,1,0,0,0,0,0,neutral
7892,18,2,1,0,4,0,0,positive
8118,28,0,0,0,0,0,0,neutral
4277,22,1,0,0,0,0,0,neutral
6724,14,0,0,0,0,0,0,positive
3984,22,0,2,2,2,0,0,neutral
4819,20,2,0,1,1,0,0,neutral
2351,21,0,0,0,1,0,0,positive
1125,25,0,1,1,0,1,0,negative
6521,11,0,0,0,0,0,0,negative
1702,16,1,0,0,0,0,0,neutral
11563,26,0,0,0,0,0,0,neutral
2598,8,0,1,0,0,0,0,neutral
10329,26,1,0,0,1,0,0,positive
10169,27,0,0,1,0,0,0,positive
2403,10,0,0,0,0,0,0,positive
7453,24,0,0,1,0,1,0,neutral
7158,24,0,0,0,0,0,0,neutral
6679,24,0,0,1,0,0,0,neutral
403,26,0,0,0,0,0,0,neutral
1253,20,0,1,0,2,0,0,positive
13665,21,1,0,1,0,1,0,negative
6375,19,0,0,0,1,0,0,neutral
5855,28,0,0,4,3,1,0,neutral
13955,28,0,0,2,0,1,0,neutral
10134,19,1,1,0,1,0,0,positive
11145,27,0,0,0,0,0,0,negative
7848,22,0,0,0,0,1,0,neutral
14328,26,0,0,0,1,1,0,negative
2616,26,0,0,0,0,1,0,neutral
74,22,0,0,2,0,0,0,neutral
15162,18,1,1,0,0,0,0,positive
2141,20,1,0,1,3,1,0,positive
