,tweet_created_at,tweet_full_text,text_clean
4525,Fri Sep 07 05:58:13 +0000 2018,"""Any educated person"" would know that words like #justdoit #howcanihelpyou are and were existing words which are used in daily conversations but are owned by certain brands and you can not use them for your brand. Bafana Bafana is owned by a white man #FillUp #FillUpMosesMabhida",educ person would know word like justdoit howcanihelpy exist word use daili convers own certain brand not use brand bafana bafana own white man fillup fillupmosesmabhida
878,Fri Sep 07 05:57:50 +0000 2018,This brings a whole meaning to the phrase “holding onto anger is like  drinking poison and expecting the other person to die”. #MAGA I guess? #NikePurge #Nike #JustDoIt https://t.co/LnFmFoFywk,bring whole mean phrase “hold onto anger like drink poison expect person die” maga guess nikepurg nike justdoit
143,Fri Sep 07 05:57:38 +0000 2018,Just Do It—one last time. @tonightly 9:30pm on @ABC_COMEDY. #Tonightly #JustDoIt https://t.co/gGHsYu8gMU,it—on last time pm tonightli justdoit
1112,Fri Sep 07 05:57:03 +0000 2018,"Support the brand, support the idea #ImWithKap #JustDoIt #NikeAd #Nike #Justdoneit https://t.co/BWC32O7i7I",support brand support idea imwithkap justdoit nikead nike justdoneit
2278,Fri Sep 07 05:56:57 +0000 2018,"Repost from @serenawilliams My dreams were crazy enough. Are yours? #JustDoIt @ Phoenix, Arizona https://t.co/IYQhx66JyZ",repost dream crazi enough justdoit phoenix arizona
1458,Fri Sep 07 05:56:25 +0000 2018,"Believe in something.
Even if it means disappearing. #JustDoIt",believ someth even mean disappear justdoit
3184,Fri Sep 07 05:56:06 +0000 2018,And then there are these 😂😂. This campaign is the best thing that has happened in a world of advertising since ever. #nike #kaepernick #trump #viral #Believeinsomething #justdoit https://t.co/ZYyqpyDN6a,😂😂 campaign best thing happen world advertis sinc ever nike kaepernick trump viral believeinsometh justdoit
1164,Fri Sep 07 05:56:06 +0000 2018,"It means very little coming from a white guy, but I’m honored to stand in alliance with #ColinKaepernick. 🖤
#Nike #JustDoIt #KneelInProtest",mean littl come white guy i’m honor stand allianc colinkaepernick nike justdoit kneelinprotest
1076,Fri Sep 07 05:55:55 +0000 2018,Have you heard ‘Scarz x Squidnice Collab- Preview’ by @poeboypelle on #SoundCloud #newmusicfriday #eagles #foles #jones #livepd #scarzgang #chxpo #nojumper #alexjones #fucku #bodegaboys #kap #nike #justdoit  #np https://t.co/VqL5oRZgp4,heard ‘scarz squidnic collab preview’ soundcloud newmusicfriday eagl fole jone livepd scarzgang chxpo nojump alexjon fucku bodegaboy kap nike justdoit np
1647,Fri Sep 07 05:54:55 +0000 2018,"Yeah, goosebumps. #JustDoIt https://t.co/eZaQgBegjZ",yeah goosebump justdoit
3056,Fri Sep 07 05:53:50 +0000 2018,"You are not what people call you nagatively.
You are a Super start a kingdom celebrity. 
Never give up on your pursuit, press on you will soon prevail keep breaking you will soon breakthrough. 
I can't wait to celebrate you.

#life #people #truth #prayers #celiberity #JustDoIt https://t.co/QowMXflKf9",not peopl call nag super start kingdom celebr never give pursuit press soon prevail keep break soon breakthrough wait celebr life peopl truth prayer celiber justdoit
3905,Fri Sep 07 05:53:36 +0000 2018,"Yeah, #JustDoIt https://t.co/6fbZ4bGIx3",yeah justdoit
2037,Fri Sep 07 05:53:05 +0000 2018,@AmyKremer @realDonaldTrump Maybe the left can convince #Kaepernick to run for President Lol. They do their polling in a hyperbolic chamber so they would think it’s a slam dunk. #JustDoIt,mayb left convinc kaepernick run presid lol poll hyperbol chamber would think it’ slam dunk justdoit
966,Fri Sep 07 05:52:13 +0000 2018,"What @mattryanreal wants to say, to everyone roasting him on social media tonight😂😂😂😂 #justdoit #fantasy #BringIt #FridayFeeling https://t.co/ktuGJTpVep",want say everyon roast social media tonight😂😂😂😂 justdoit fantasi bringit fridayfeel
4708,Fri Sep 07 05:52:08 +0000 2018,"Also, shrink the Knowing-Doing Gap. Systematic dvlpment helps. Disseminate knowledge &amp; then #justdoit Explore Why? Who?When? Where? &amp; HOW? https://t.co/8QgOs2E5oG",also shrink know gap systemat dvlpment help dissemin knowledg amp justdoit explor amp
2460,Fri Sep 07 05:51:26 +0000 2018,This is everything! Yes ask are they crazy enoigh! I dream a woman will be POTUS one day soon together we make it happen #Vote #JustDoIt https://t.co/vpyRTjbTVV,everyth ye ask crazi enoigh dream woman potu one day soon togeth make happen vote justdoit
2024,Fri Sep 07 05:51:26 +0000 2018,Chills 🚀🚀 #JustDoIt https://t.co/pFcDwIz1Zb,chill 🚀🚀 justdoit
3169,Fri Sep 07 05:51:25 +0000 2018,"@2KSupport please can you hey my VC back !! I followed the steps and it doesn’t work , I’ve taken off work and use my vacation time to play this game and this happens ! This is unacceptable! Get it together #JustDoIt #nba2k19 https://t.co/K8A8QZk7nz",pleas hey vc back follow step doesn’t work i’v taken work use vacat time play game happen unaccept get togeth justdoit nbak
2244,Fri Sep 07 05:50:43 +0000 2018,It took 7 years for me to get back on twitter. Go follow me. #justdoit,took year get back twitter go follow justdoit
401,Fri Sep 07 05:50:05 +0000 2018,The only thing stopping you is you #justdoit #gogetit https://t.co/oZNI4Soryh,thing stop justdoit gogetit
348,Fri Sep 07 05:49:45 +0000 2018,"Nigeria Vs. Saudi Arabia Friendly Canceled, To Face Liberia Instead #HennessyVSClass2018
#BurtReynolds
#UEFANationsLeague
#JustDoIt
#LoveThursday
#Serena
#Pogba
#EveryBeatingHeartCounts
#Nike
#JoeBudden https://t.co/fUeUHdA43x https://t.co/slt7UJStAl",nigeria vs saudi arabia friendli cancel face liberia instead hennessyvsclass burtreynold uefanationsleagu justdoit lovethursday serena pogba everybeatingheartcount nike joebudden
699,Fri Sep 07 05:49:29 +0000 2018,@Nike Love 💘 this ad #justdoit,love ad justdoit
3160,Fri Sep 07 05:49:18 +0000 2018,Nothing happens until you make it happen #JustDoIt,noth happen make happen justdoit
4966,Fri Sep 07 05:49:09 +0000 2018,Why we #TakeAKnee #justdoit #NFLKickoff https://t.co/CoXgkqX9eZ,takeakne justdoit nflkickoff
2547,Fri Sep 07 05:49:03 +0000 2018,"@Nike @nomoneyfc I love how you include all kinds of race, religions, colours and ethnicities in this. By doing this, the ad effectively shows the courage people can have and makes the #justdoit slogan me more. Thank you.",love includ kind race religion colour ethnic ad effect show courag peopl make justdoit slogan thank
3171,Fri Sep 07 05:48:51 +0000 2018,LOVE 💘 THIS AD #JUSTDOIT https://t.co/Y4zFQ7BbMG,love ad justdoit
2388,Fri Sep 07 05:48:42 +0000 2018,Don't wait until you are shouted at do the right thing  #JustDoIt lemme gonna sweep 🏃,wait shout right thing justdoit lemm gonna sweep
214,Fri Sep 07 05:48:39 +0000 2018,Not getting too political here but I never saw Boobie Miles knock anybody out with white adidas on his feet #BlackNikes #nike #JustDoIt #Fridaynightlights #Permian #Panthers #HSfootball #texas #Boobie #Miles #GOAT #noACLnoKneeling #ANDHECANPASS,not get polit never saw boobi mile knock anybodi white adida feet blacknik nike justdoit fridaynightlight permian panther hsfootbal texa boobi mile goat noaclnokneel andhecanpass
708,Fri Sep 07 05:48:32 +0000 2018,"@shaunking @TearsInHeaven09 @PluckyQ416 @Kaepernick7 @sinbadbad @donlemon @TheDailyShow @ManInTheHoody @JoyAnnReid @MichaelEDyson @keithboykin @ACLU @NFL @NFLPA @TheNBPA @jheil😠

Why h/n the SOB been fired AND facing charges?
#TakeAKnee #JustDoIt #IStandWithKap #BlackLivesMatter https://t.co/3YxR8BnlTi",sob fire face charg takeakne justdoit istandwithkap blacklivesmatt
555,Fri Sep 07 05:48:22 +0000 2018,"Just a normal day for me ;) you?

#motivation
#motivation #justdoit #entrepreneurs #smallbiz https://t.co/MAqBiHGDRS",normal day motiv motiv justdoit entrepreneur smallbiz
4891,Fri Sep 07 05:48:13 +0000 2018,Up kurrently goin over this recent investment I did 😌 #justdoit,kurrent goin recent invest justdoit
835,Fri Sep 07 05:48:05 +0000 2018,"“Don’t ask if you’re dreams are crazy, ask if they’re crazy enough!” #justdoit https://t.co/4NfKvdNze7",“don’t ask you’r dream crazi ask they’r crazi enough justdoit
19,Fri Sep 07 05:47:27 +0000 2018,"I was inspired by princesscruises and @nike at the same time. What a way to travel!!!

Sincerely,
Your travel fairy🧚🏾‍♀️
.
.
.
#justdoit #princesscruises #travel #comebacknew… https://t.co/7KbKQHM5xU",inspir princesscruis time way travel sincer travel fairy🧚🏾‍♀️ justdoit princesscruis travel comebacknew…
2932,Fri Sep 07 05:46:57 +0000 2018,@CBSNews I got me some new @Nike running shoes Tuesday. #JustDoIt #StandForSomething,got new run shoe tuesday justdoit standforsometh
